"","site_nr","observed","predicted","DD","relative_DD","predicted.nogenus","DD.nogenus","relative_DD.nogenus"
"101","72",89,2777,2688,0.967951026287361,832,743,0.893028846153846
"102","73",24,320,296,0.925,154,130,0.844155844155844
"103","74",23,941,918,0.975557917109458,517,494,0.955512572533849
"104","75",18,2614,2596,0.993114001530222,588,570,0.969387755102041
"105","76",91,2857,2766,0.968148407420371,626,535,0.854632587859425
"106","77",64,3363,3299,0.980969372584002,826,762,0.922518159806295
"107","78",73,2980,2907,0.975503355704698,656,583,0.888719512195122
"108","79",71,1282,1211,0.944617784711388,213,142,0.666666666666667
"109","8",29,1799,1770,0.983879933296276,110,81,0.736363636363636
"110","80",74,1751,1677,0.957738435179897,123,49,0.398373983739837
"111","81",115,2776,2661,0.9585734870317,552,437,0.791666666666667
"112","82",110,3091,2981,0.9644128113879,973,863,0.886947584789311
"113","83",71,2435,2364,0.970841889117043,457,386,0.844638949671772
"114","84",16,1863,1847,0.991411701556629,260,244,0.938461538461538
"115","85",111,2458,2347,0.954841334418226,450,339,0.753333333333333
"116","86",96,3496,3400,0.97254004576659,839,743,0.885578069129917
"117","87",114,3285,3171,0.965296803652968,971,857,0.88259526261586
"118","88",79,894,815,0.911633109619687,340,261,0.767647058823529
"119","89",92,2609,2517,0.964737447297815,622,530,0.852090032154341
"120","9",65,3315,3250,0.980392156862745,700,635,0.907142857142857
"121","90",47,2619,2572,0.982054219167621,357,310,0.868347338935574
"122","91",52,1351,1299,0.961509992598075,171,119,0.695906432748538
"123","92",29,2068,2039,0.985976789168279,575,546,0.949565217391304
"124","93",54,1363,1309,0.960381511371974,229,175,0.764192139737991
"125","94",116,1067,951,0.891283973758201,318,202,0.635220125786163
"126","95",28,547,519,0.948811700182815,151,123,0.814569536423841
"127","96",133,2678,2545,0.950336071695295,606,473,0.78052805280528
"128","97",115,2664,2549,0.956831831831832,589,474,0.804753820033956
"129","98",136,2742,2606,0.950401167031364,577,441,0.764298093587522
"130","99",143,3541,3398,0.959615927704038,1014,871,0.858974358974359
